,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
9040,Allied General    ,N/A  ,30th Sep 96  ,PS,SSI  ,SSI  ,,0.19m,0.11m,0.07m,0.19m,0.01m,,N/A  
9041,Call of Duty: WWII    ,N/A  ,03rd Nov 17  ,PC,Activision  ,Sledgehammer Games  ,,0.19m,0.07m,0.11m,0.19m,0.01m,30th Dec 17,N/A  
9042,Fire ProWrestling G    ,N/A  ,24th Jun 99  ,PS,Human Entertainment  ,S-Neo  ,,0.19m,,,0.19m,0.01m,,N/A  
9043,Kamen Rider: Battride War    ,N/A  ,23rd May 13  ,PS3,Namco Bandai Games  ,Eighting  ,,0.19m,,,0.19m,,03rd Nov 18,N/A  
9044,Naruto: Ninja Destiny    ,N/A  ,20th Mar 08  ,DS,D3Publisher  ,Takara Tomy  ,,0.19m,0.02m,0.01m,0.19m,0.00m,,N/A  
9045,WWE All Stars    ,N/A  ,29th Mar 11  ,Wii,THQ  ,THQ  ,,0.19m,0.10m,0.07m,0.19m,0.02m,,N/A  
9046,Elite: Dangerous    ,N/A  ,27th Jun 17  ,PS4,Frontier Developments  ,Frontier Developments  ,,0.19m,0.06m,0.10m,0.19m,0.03m,15th Jun 18,N/A  
9047,Namco Museum Megamix    ,N/A  ,16th Nov 10  ,Wii,Namco Bandai  ,Namco Bandai Games America  ,,0.19m,0.17m,,0.19m,0.02m,,N/A  
9048,Shovel Knight    ,N/A  ,21st Apr 15  ,PS4,Yacht Club Games  ,Yacht Club Games  ,0.19m,,,,0.19m,,21st Nov 18,N/A  
9049,Stronghold 3    ,N/A  ,25th Oct 11  ,PC,SouthPeak Interactive  ,FireFly Studios  ,,0.19m,0.06m,0.13m,0.19m,,,N/A  
9050,Schlag den Raab    ,N/A  ,10th Sep 10  ,Wii,Namco Bandai  ,Namco Bandai Games  ,,0.19m,,0.17m,0.19m,0.02m,,N/A  
9051,Singstar: Ultimate Party    ,N/A  ,24th Oct 14  ,PS4,Sony Computer Entertainment  ,London Studios  ,,0.19m,,0.16m,0.19m,0.03m,24th Sep 18,N/A  
9052,NeverEnd    ,N/A  ,02nd Oct 06  ,PC,DreamCatcher Interactive  ,Mayhem Studios  ,0.19m,,,,0.19m,,,N/A  
9053,Spider-Man: Shattered Dimensions    ,N/A  ,07th Sep 10  ,DS,Activision  ,Beenox Studios  ,,0.19m,0.17m,0.01m,0.19m,0.01m,,N/A  
9054,GunGriffon    ,N/A  ,01st Jan 96  ,SAT,Sega  ,Game Arts  ,,0.19m,,,0.19m,0.00m,,N/A  
9055,Kuma-Tomo    ,N/A  ,20th Jun 13  ,3DS,Namco Bandai Games  ,Namco Bandai Games  ,,0.19m,,,0.19m,,03rd Nov 18,N/A  
9056,SingStar Pop Vol.2    ,N/A  ,23rd Sep 08  ,PS2,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9057,SNK Arcade Classics Vol. 1    ,N/A  ,29th Apr 08  ,PS2,SNK Playmore  ,Terminal Reality  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9058,Darkstalkers 3    ,N/A  ,30th Nov 98  ,PS,Capcom  ,Capcom  ,,0.19m,0.11m,0.07m,0.19m,0.01m,,N/A  
9059,Phantasy Star Nova    ,N/A  ,27th Nov 14  ,PSV,Sega  ,Unknown  ,,0.19m,,,0.19m,,,N/A  
9060,Chaotic: Shadow Warriors    ,N/A  ,17th Nov 09  ,Wii,Activision  ,Activision  ,,0.19m,0.18m,,0.19m,0.01m,,N/A  
9061,Frequency    ,N/A  ,19th Nov 01  ,PS2,Sony Computer Entertainment  ,Harmonix Music Systems  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9062,Tomb Raider: Underworld    ,N/A  ,18th Nov 08  ,DS,Eidos Interactive  ,Santa Cruz Games  ,,0.19m,0.15m,0.02m,0.19m,0.01m,,N/A  
9063,Inazuma Eleven Strikers 2012 Xtreme    ,N/A  ,22nd Dec 11  ,Wii,Level 5  ,Level 5  ,,0.19m,,,0.19m,,,N/A  
9064,The Polar Express    ,N/A  ,02nd Nov 04  ,GBA,THQ  ,Tantalus Interactive  ,,0.19m,0.14m,0.05m,0.19m,0.00m,,N/A  
9065,Project X Zone 2    ,N/A  ,16th Feb 16  ,3DS,Namco Bandai Games  ,Monolith Soft  ,,0.19m,0.06m,0.04m,0.19m,0.01m,14th Jun 18,N/A  
9066,Silent Hill HD Collection    ,N/A  ,20th Mar 12  ,X360,Konami Digital Entertainment  ,Konami  ,,0.19m,0.11m,0.06m,0.19m,0.02m,,N/A  
9067,NBA Live 19    ,N/A  ,07th Sep 18  ,PS4,Electronic Arts  ,EA Tiburon  ,,0.19m,0.15m,,0.19m,0.04m,13th Jun 18,N/A  
9068,Arc Rise Fantasia    ,N/A  ,20th Jul 10  ,Wii,Ignition Entertainment  ,imageepoch Inc.  ,,0.19m,0.12m,,0.19m,0.01m,,N/A  
9069,2002 FIFA World Cup    ,N/A  ,22nd Apr 02  ,XB,EA Sports  ,EA Canada  ,,0.19m,0.14m,0.04m,0.19m,0.01m,,N/A  
9070,Captain Toad: Treasure Tracker    ,N/A  ,13th Jul 18  ,3DS,Nintendo  ,Nintendo EPD  ,,0.19m,0.06m,0.04m,0.19m,0.01m,18th Nov 18,N/A  
9071,Heavy Fire: Afghanistan    ,N/A  ,18th Nov 11  ,PS3,Mastiff  ,Teyon Entertainment  ,,0.19m,0.17m,,0.19m,0.03m,,N/A  
9072,Jampack: Summer 2003 (RP-T)    ,N/A  ,29th Apr 03  ,PS2,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
