,metascore,title,console,date,Global_Sales,User_Score
1325,44,Warriors Orochi 2,X360, 2008,0.06,81.0
1326,56,Warriors Orochi 2,PSP, 2009,0.06,81.0
1327,77,Universe at War: Earth Assault,PC, 2007,0.1,83.0
1328,66,Universe at War: Earth Assault,X360, 2008,0.1,83.0
1329,84,Rise of Nations: Rise of Legends,PC, 2006,0.03,85.0
1330,68,Evil Dead: Regeneration,PS2, 2005,0.21,85.0
1331,66,Evil Dead: Regeneration,XBOX, 2005,0.21,85.0
1332,56,Yu Yu Hakusho: Dark Tournament,PS2, 2004,0.21,85.0
1333,85,Tekken Tag Tournament,PS2, 2000,4.05,85.0
1334,94,Call of Duty 4: Modern Warfare,X360, 2007,1.05,69.0
1335,92,Call of Duty 4: Modern Warfare,PC, 2007,1.05,69.0
1336,94,Call of Duty 4: Modern Warfare,PS3, 2007,1.05,69.0
1337,75,Call of Duty 4: Modern Warfare,DS, 2007,1.05,69.0
1338,84,Dragon Quest V: Hand of the Heavenly Bride,DS, 2009,1.57,85.0
1339,74,Steambot Chronicles,PS2, 2006,0.04,82.0
1340,82,de Blob,WII, 2008,0.96,86.0
1341,72,de Blob,Switch, 2018,0.96,86.0
1342,80,Baten Kaitos: Eternal Wings and the Lost Ocean,GC, 2004,0.27,90.0
1343,82,Midnight Club: Los Angeles,PS3, 2008,2.35,85.0
1344,81,Midnight Club: Los Angeles,X360, 2008,2.35,85.0
1345,81,Kirby: Planet Robobot,3DS, 2016,0.93,87.0
1346,87,Half-Life,PS2, 2001,0.6,86.0
1347,88,ESPN NHL 2K5,XBOX, 2004,0.42,85.0
1348,86,ESPN NHL 2K5,PS2, 2004,0.42,85.0
1349,71,Madden NFL 08,DS, 2007,0.08,70.0
1350,78,Madden NFL 08,PS2, 2007,0.08,70.0
1351,75,Madden NFL 08,PSP, 2007,0.08,70.0
1352,76,Madden NFL 08,WII, 2007,0.08,70.0
1353,85,Madden NFL 08,X360, 2007,0.08,70.0
1354,81,Madden NFL 08,PS3, 2007,0.08,70.0
1355,71,Ecco the Dolphin: Defender of the Future,PS2, 2002,0.14,85.0
1356,84,Ecco the Dolphin: Defender of the Future,DC, 2000,0.14,85.0
1357,85,NASCAR Thunder 2002,PS2, 2001,0.42,69.0
1358,69,NASCAR Thunder 2002,PS, 2001,0.42,69.0
1359,84,Silent Hill 2: Restless Dreams,XBOX, 2001,0.28,83.0
1360,92,Guitar Hero II,PS2, 2006,2.2,81.0
1361,92,Guitar Hero II,X360, 2007,2.2,81.0
1362,89,New Super Mario Bros.,DS, 2006,29.8,85.0
1363,87,Elite Beat Agents,DS, 2006,0.36,86.0
1364,82,Danganronpa: Trigger Happy Havoc,PC, 2016,0.33,81.0
1365,80,Danganronpa: Trigger Happy Havoc,VITA, 2014,0.33,81.0
1366,59,Riding Spirits,PS2, 2002,0.26,90.0
1367,80,Mario Power Tennis,GC, 2004,1.22,85.0
1368,78,Rebelstar: Tactical Command,GBA, 2005,0.05,91.0
1369,76,Riviera: The Promised Land,GBA, 2005,0.09,77.0
1370,68,Riviera: The Promised Land,PSP, 2007,0.09,77.0
1371,47,Tom Clancy's HAWX 2,WII, 2010,0.05,38.0
1372,70,Tom Clancy's HAWX 2,PS3, 2010,0.05,38.0
1373,68,Tom Clancy's HAWX 2,X360, 2010,0.05,38.0
1374,66,Tom Clancy's HAWX 2,PC, 2010,0.05,38.0
1375,81,X-Men Legends,GC, 2004,0.53,85.0
1376,79,X-Men Legends,PS2, 2004,0.53,85.0
1377,82,X-Men Legends,XBOX, 2004,0.53,85.0
1378,86,The Witcher: Enhanced Edition,PC, 2008,0.32,85.0
1379,68,Suikoden Tactics,PS2, 2005,0.2,86.0
1380,93,Fallout 3,X360, 2008,0.98,79.0
1381,90,Fallout 3,PS3, 2008,0.98,79.0
1382,91,Fallout 3,PC, 2008,0.98,79.0
1383,80,Ultimate Brain Games,GBA, 2003,0.08,83.0
1384,80,Otogi: Myth of Demons,XBOX, 2003,0.13,85.0
1385,90,Shin Megami Tensei: Persona 4,PS2, 2008,0.82,89.0
1386,80,Links 2004,XBOX, 2003,0.29,90.0
1387,80,Condemned 2: Bloodshot,X360, 2008,0.39,81.0
1388,82,Condemned 2: Bloodshot,PS3, 2008,0.39,81.0
1389,78,NHL 06,PS2, 2005,0.08,93.0
1390,79,NHL 06,XBOX, 2005,0.08,93.0
1391,78,NHL 06,GC, 2005,0.08,93.0
1392,77,NHL 06,PC, 2005,0.08,93.0
1393,58,Shining Soul,GBA, 2003,0.14,85.0
1394,78,Road Rash: Jailbreak,GBA, 2003,0.1,93.0
1395,71,Zone of the Enders: The Fist of Mars,GBA, 2002,0.06,90.0
1396,79,MX vs. ATV Unleashed,PS2, 2005,0.4,83.0
1397,80,MX vs. ATV Unleashed,XBOX, 2005,0.4,83.0
1398,71,MX vs. ATV Unleashed,PC, 2006,0.4,83.0
1399,84,FIFA Soccer 09,PSP, 2008,0.02,68.0
1400,87,FIFA Soccer 09,X360, 2008,0.02,68.0
1401,87,FIFA Soccer 09,PS3, 2008,0.02,68.0
1402,82,FIFA Soccer 09,PS2, 2008,0.02,68.0
1403,77,FIFA Soccer 09,PC, 2008,0.02,68.0
1404,83,Prince of Persia: Warrior Within,PC, 2004,0.2,86.0
1405,83,Prince of Persia: Warrior Within,PS2, 2004,0.2,86.0
1406,83,Prince of Persia: Warrior Within,GC, 2004,0.2,86.0
1407,83,Prince of Persia: Warrior Within,XBOX, 2004,0.2,86.0
1408,76,Battalion Wars,GC, 2005,0.4,88.0
1409,79,Ghostbusters: The Video Game,X360, 2009,0.18,47.0
1410,64,Ghostbusters: The Video Game,PS2, 2009,0.18,47.0
1411,76,Ghostbusters: The Video Game,WII, 2009,0.18,47.0
1412,78,Ghostbusters: The Video Game,PS3, 2009,0.18,47.0
1413,74,Ghostbusters: The Video Game,PC, 2009,0.18,47.0
1414,55,Ghostbusters: The Video Game,DS, 2009,0.18,47.0
1415,54,Ghostbusters: The Video Game,PSP, 2009,0.18,47.0
1416,73,BloodRayne,GC, 2002,0.11,85.0
1417,75,BloodRayne,PS2, 2002,0.11,85.0
1418,65,BloodRayne,PC, 2003,0.11,85.0
1419,76,BloodRayne,XBOX, 2002,0.11,85.0
1420,71,Cubivore: Survival of the Fittest,GC, 2002,0.17,85.0
1421,85,Castlevania: Order of Ecclesia,DS, 2008,0.36,87.0
1422,85,Professor Layton and the Curious Village,DS, 2008,5.19,86.0
1423,79,Tenchu: Wrath of Heaven,PS2, 2003,1.14,84.0
1424,62,Warship Gunner 2,PS2, 2006,0.03,85.0
1425,78,NCAA March Madness 06,PS2, 2005,0.2,72.0
1426,76,NCAA March Madness 06,XBOX, 2005,0.2,72.0
1427,80,Lock's Quest,DS, 2008,0.09,87.0
1428,69,NiGHTS: Journey of Dreams,WII, 2007,0.41,85.0
1429,69,Crazy Taxi 3: High Roller,XBOX, 2002,0.2,85.0
1430,71,Rogue Trooper,XBOX, 2006,0.02,85.0
1431,71,Rogue Trooper,PS2, 2006,0.02,85.0
1432,69,Rogue Trooper,PC, 2006,0.02,85.0
1433,81,Pro Race Driver,PS2, 2002,0.04,75.0
1434,80,Pro Race Driver,XBOX, 2003,0.04,75.0
1435,74,Pro Race Driver,PC, 2003,0.04,75.0
1436,78,Mega Man ZX Advent,DS, 2007,0.33,86.0
1437,74,Radiata Stories,PS2, 2005,0.65,90.0
1438,86,Madden NFL 06,GC, 2005,0.12,63.0
1439,88,Madden NFL 06,PS2, 2005,0.12,63.0
1440,75,Madden NFL 06,PSP, 2005,0.12,63.0
1441,78,Madden NFL 06,PC, 2005,0.12,63.0
1442,86,Madden NFL 06,XBOX, 2005,0.12,63.0
1443,66,Madden NFL 06,DS, 2005,0.12,63.0
1444,74,Madden NFL 06,X360, 2005,0.12,63.0
