,console,date,metascore,name,tot_sale,userscore
147,3DS,2012,78.0,Metal Gear Solid: Snake Eater 3D,0.38,78.0
148,3DS,2013,61.0,LEGO Marvel Super Heroes,0.9,52.0
149,3DS,2011,75.0,Nano Assault,0.08,77.0
150,3DS,2013,68.0,Skylanders SWAP Force,0.24,64.0
151,3DS,2012,83.0,Kid Icarus: Uprising,1.27,87.0
152,3DS,2011,71.0,Ace Combat: Assault Horizon Legacy,0.24,78.0
153,3DS,2016,64.0,Metroid Prime: Federation Force,0.05,51.0
154,3DS,2012,67.0,Code of Princess,0.2,76.0
155,3DS,2012,59.0,Pokemon Mystery Dungeon: Gates to Infinity,1.27,63.0
156,3DS,2013,80.0,Etrian Odyssey Untold: The Millennium Girl,0.26,82.0
157,3DS,2015,61.0,Dragon Ball Z: Extreme Butoden,0.33,66.0
158,DC,1999,98.0,SoulCalibur,0.34,88.0
159,DC,1999,88.0,Shenmue,1.18,94.0
160,DC,2000,97.0,NFL 2K1,1.09,60.0
161,DC,2001,80.0,Phantasy Star Online Ver. 2,0.19,89.0
162,DC,1999,82.0,Seaman,0.52,84.0
163,DC,2001,88.0,Shenmue II,0.15,94.0
164,DC,2001,82.0,Crazy Taxi 2,0.07,81.0
165,DC,2001,89.0,Sonic Adventure 2,0.12,86.0
166,DC,2000,83.0,The Typing of the Dead,0.05,78.0
167,DC,2000,80.0,Capcom vs. SNK,0.22,90.0
168,DC,2000,90.0,Grandia II,0.2,88.0
169,DC,2000,93.0,Skies of Arcadia,0.09,94.0
170,DC,2000,84.0,Sega GT,0.13,77.0
171,DC,2000,89.0,Phantasy Star Online,0.2,91.0
172,DS,2005,58.0,Fullmetal Alchemist: Dual Sympathy,0.09,73.0
173,DS,2008,85.0,Castlevania: Order of Ecclesia,0.36,87.0
174,DS,2007,28.0,Godzilla Unleashed: Double Smash,0.12,49.0
175,DS,2008,34.0,Six Flags Fun Park,0.18,70.0
176,DS,2006,69.0,Pokemon Ranger,2.15,76.0
177,DS,2005,63.0,SBK: Snowboard Kids,0.02,65.0
178,DS,2010,85.0,Radiant Historia,0.29,90.0
179,DS,2005,68.0,Harry Potter and the Goblet of Fire,0.23,60.0
180,DS,2008,72.0,Skate it,0.17,78.0
181,DS,2004,46.0,Pokemon Dash,0.77,59.0
182,DS,2007,74.0,Need for Speed: ProStreet,0.12,74.0
183,DS,2006,70.0,Scurge: Hive,0.06,86.0
184,DS,2008,46.0,Spectral Force Genesis,0.09,70.0
